Year,Team,Division,Rev_Division
2012,PHS,East,East
2012,CON,East,East
2012,RIR,East,East
2012,ROC,East,East
2012,IND,West,Central
2012,CIN,West,Central
2012,CLB,West,Central
2012,DET,West,Central
2013,TOR,East,East
2013,NY,East,East
2013,PHI,East,East
2013,ROC,East,East
2013,DC,East,East
2013,NJ,East,East
2013,CHI,Midwest,Central
2013,MAD,Midwest,Central
2013,IND,Midwest,Central
2013,MIN,Midwest,Central
2013,CIN,Midwest,Central
2013,DET,Midwest,Central
2014,TOR,East,East
2014,NY,East,East
2014,DC,East,East
2014,MTL,East,East
2014,PHI,East,East
2014,ROC,East,East
2014,MAD,Midwest,Central
2014,CHI,Midwest,Central
2014,IND,Midwest,Central
2014,MIN,Midwest,Central
2014,CIN,Midwest,Central
2014,DET,Midwest,Central
2014,OAK,West,West
2014,SF,West,West
2014,VAN,West,West
2014,SEA,West,West
2014,SLL,West,West
2015,TOR,East,East
2015,NY,East,East
2015,MTL,East,East
2015,OTT,East,East
2015,DC,East,East
2015,PHI,East,East
2015,ROC,East,East
2015,MAD,Midwest,Central
2015,PIT,Midwest,Central
2015,CHI,Midwest,Central
2015,IND,Midwest,Central
2015,MIN,Midwest,Central
2015,CIN,Midwest,Central
2015,DET,Midwest,Central
2015,OAK,West,West
2015,SEA,West,West
2015,SF,West,West
2015,SD,West,West
2015,LA,West,West
2015,VAN,West,West
2015,CAR,South,South
2015,TB,South,South
2015,ATL,South,South
2015,NSH,South,South
2015,CHA,South,South
2016,TOR,East,East
2016,DC,East,East
2016,NY,East,East
2016,OTT,East,East
2016,MTL,East,East
2016,PHI,East,East
2016,MAD,Midwest,Central
2016,PIT,Midwest,Central
2016,MIN,Midwest,Central
2016,IND,Midwest,Central
2016,CHI,Midwest,Central
2016,DET,Midwest,Central
2016,CIN,Midwest,Central
2016,SF,West,West
2016,SEA,West,West
2016,LA,West,West
2016,VAN,West,West
2016,OAK,West,West
2016,SD,West,West
2016,DAL,South,South
2016,CAR,South,South
2016,ATL,South,South
2016,ATX,South,South
2016,TB,South,South
2016,CHA,South,South
2016,NSH,South,South
2017,TOR,East,East
2017,DC,East,East
2017,MTL,East,East
2017,NY,East,East
2017,PHI,East,East
2017,OTT,East,East
2017,MAD,Midwest,Central
2017,MIN,Midwest,Central
2017,PIT,Midwest,Central
2017,IND,Midwest,Central
2017,CHI,Midwest,Central
2017,DET,Midwest,Central
2017,OAK,West,West
2017,SF,West,West
2017,LA,West,West
2017,SEA,West,West
2017,SD,West,West
2017,VAN,West,West
2017,CAR,South,South
2017,DAL,South,South
2017,TB,South,South
2017,ATX,South,South
2017,ATL,South,South
2017,NSH,South,South
2018,TOR,East,East
2018,DC,East,East
2018,NY,East,East
2018,PHI,East,East
2018,MTL,East,East
2018,OTT,East,East
2018,MAD,Midwest,Central
2018,IND,Midwest,Central
2018,MIN,Midwest,Central
2018,CHI,Midwest,Central
2018,PIT,Midwest,Central
2018,DET,Midwest,Central
2018,DAL,South,South
2018,CAR,South,South
2018,ATX,South,South
2018,ATL,South,South
2018,TB,South,South
2018,NSH,South,South
2018,LA,West,West
2018,SD,West,West
2018,OAK,West,West
2018,SF,West,West
2018,SEA,West,West
2019,NY,East,East
2019,TOR,East,East
2019,DC,East,East
2019,MTL,East,East
2019,PHI,East,East
2019,OTT,East,East
2019,IND,Midwest,Central
2019,PIT,Midwest,Central
2019,CHI,Midwest,Central
2019,MIN,Midwest,Central
2019,MAD,Midwest,Central
2019,DET,Midwest,Central
2019,SD,West,West
2019,LA,West,West
2019,OAK,West,West
2019,SEA,West,West
2019,CAR,South,South
2019,DAL,South,South
2019,ATL,South,South
2019,TB,South,South
2019,ATX,South,South
2021,NY,Atlantic,Atlantic
2021,CAR,Atlantic,Atlantic
2021,SD,West,West
2021,CHI,Central,Central
2021,DC,Atlantic,Atlantic
2021,MIN,Central,Central
2021,ATL,Atlantic,Atlantic
2021,DAL,West,West
2021,MAD,Central,Central
2021,MTL,Canada Cup,Canada Cup
2021,ATX,West,West
2021,LA,West,West
2021,BOS,Atlantic,Atlantic
2021,OAK,West,West
2021,IND,Central,Central
2021,SEA,West,West
2021,OTT,Canada Cup,Canada Cup
2021,PHI,Atlantic,Atlantic
2021,TOR,Canada Cup,Canada Cup
2021,TB,Atlantic,Atlantic
2021,PIT,Atlantic,Atlantic
2021,DET,Central,Central
2022,NY,East,East
2022,DC,East,East
2022,PHI,East,East
2022,BOS,East,East
2022,MTL,East,East
2022,TOR,East,East
2022,OTT,East,East
2022,CHI,Central,Central
2022,MIN,Central,Central
2022,IND,Central,Central
2022,MAD,Central,Central
2022,PIT,Central,Central
2022,DET,Central,Central
2022,CAR,South,South
2022,ATX,South,South
2022,ATL,South,South
2022,DAL,South,South
2022,TB,South,South
2022,COL,West,West
2022,SLC,West,West
2022,SD,West,West
2022,OAK,West,West
2022,LA,West,West
2022,SEA,West,West
2022,POR,West,West